category	task_name	weight	policy	mode	seed	count	task_progress
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_100m	pvp	1	46	0.185870
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_100m	pvp	17590196	51	0.155882
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_100m	pvp	2	49	0.152041
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_100m	pvp	48692979	48	0.171875
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_100m	pvp	59315038	56	0.171429
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_100m	pvp	70970695	61	0.155738
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_100m	pvp	74435116	52	0.176923
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_100m	pvp	78309306	60	0.158333
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_100m	pvp	87951085	60	0.170833
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_100m	pvp	97056894	57	0.126316
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_200m	pvp	1	63	0.189683
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_200m	pvp	17590196	53	0.124528
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_200m	pvp	2	66	0.176515
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_200m	pvp	48692979	44	0.203409
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_200m	pvp	59315038	54	0.141667
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_200m	pvp	70970695	67	0.156716
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_200m	pvp	74435116	42	0.134524
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_200m	pvp	78309306	52	0.176923
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_200m	pvp	87951085	55	0.164545
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_200m	pvp	97056894	47	0.140426
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_300m	pvp	1	46	0.157609
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_300m	pvp	17590196	56	0.211607
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_300m	pvp	2	53	0.215094
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_300m	pvp	48692979	57	0.186842
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_300m	pvp	59315038	50	0.175000
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_300m	pvp	70970695	35	0.222857
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_300m	pvp	74435116	58	0.168966
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_300m	pvp	78309306	69	0.158696
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_300m	pvp	87951085	64	0.204687
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_300m	pvp	97056894	34	0.151471
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_400m	pvp	1	54	0.160185
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_400m	pvp	17590196	61	0.159836
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_400m	pvp	2	45	0.203333
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_400m	pvp	48692979	52	0.192308
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_400m	pvp	59315038	54	0.224074
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_400m	pvp	70970695	47	0.168085
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_400m	pvp	74435116	57	0.179825
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_400m	pvp	78309306	51	0.189216
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_400m	pvp	87951085	56	0.161607
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	general_400m	pvp	97056894	36	0.156944
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_100m	pvp	1	45	0.147778
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_100m	pvp	17590196	58	0.139655
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_100m	pvp	2	43	0.209302
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_100m	pvp	48692979	54	0.154630
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_100m	pvp	59315038	66	0.108333
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_100m	pvp	70970695	55	0.152727
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_100m	pvp	74435116	54	0.125000
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_100m	pvp	78309306	53	0.196226
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_100m	pvp	87951085	48	0.128125
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_100m	pvp	97056894	57	0.166667
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_25m	pvp	1	55	0.100909
