mode	category	policy	task_progress
pvp	combat	general_100m	0.119406
pvp	combat	general_200m	0.123819
pvp	combat	general_300m	0.131355
pvp	combat	general_400m	0.136667
pvp	combat	mtonly_100m	0.117327
pvp	combat	mtonly_25m	0.077480
pvp	combat	mtonly_50m	0.093001
pvp	combat	mtonly_75m	0.100550
pvp	exploration	general_100m	0.104494
pvp	exploration	general_200m	0.112735
pvp	exploration	general_300m	0.109536
pvp	exploration	general_400m	0.121556
pvp	exploration	mtonly_100m	0.098068
pvp	exploration	mtonly_25m	0.081060
pvp	exploration	mtonly_50m	0.082392
pvp	exploration	mtonly_75m	0.088115
pvp	item	general_100m	0.109648
pvp	item	general_200m	0.130906
pvp	item	general_300m	0.131193
pvp	item	general_400m	0.144801
pvp	item	mtonly_100m	0.136408
pvp	item	mtonly_25m	0.086923
pvp	item	mtonly_50m	0.107809
pvp	item	mtonly_75m	0.120393
pvp	market	general_100m	0.250428
pvp	market	general_200m	0.316484
pvp	market	general_300m	0.337049
pvp	market	general_400m	0.346416
pvp	market	mtonly_100m	0.371275
pvp	market	mtonly_25m	0.153227
pvp	market	mtonly_50m	0.287144
pvp	market	mtonly_75m	0.310449
pvp	skill	general_100m	0.065660
pvp	skill	general_200m	0.081171
pvp	skill	general_300m	0.085147
pvp	skill	general_400m	0.093052
pvp	skill	mtonly_100m	0.091460
pvp	skill	mtonly_25m	0.042680
pvp	skill	mtonly_50m	0.069553
pvp	skill	mtonly_75m	0.072484
