mode	category	task_name	policy	task_progress
pvp	combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	general_100m	0.162524
pvp	combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	general_200m	0.160894
pvp	combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	general_300m	0.185283
pvp	combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	general_400m	0.179541
pvp	combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	mtonly_100m	0.152844
pvp	combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	mtonly_25m	0.111329
pvp	combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	mtonly_50m	0.134426
pvp	combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	mtonly_75m	0.141855
pvp	combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	general_100m	0.150095
pvp	combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	general_200m	0.157936
pvp	combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	general_300m	0.162099
pvp	combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	general_400m	0.173229
pvp	combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	mtonly_100m	0.158062
pvp	combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	mtonly_25m	0.105527
pvp	combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	mtonly_50m	0.119277
pvp	combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	mtonly_75m	0.130953
pvp	combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	general_100m	0.045598
pvp	combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	general_200m	0.052629
pvp	combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	general_300m	0.046683
pvp	combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	general_400m	0.057230
pvp	combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	mtonly_100m	0.041073
